 Lunacy has found me
 Cannot stop the battery
 Pounding out aggression
 Turns into obsession
 Cannot kill the battery

 Cannot kill the family
 Battery is found in me

 Battery
 Battery
 Battery
 Battery"20,3,Master of Puppets,Master of Puppets,1,2,1986,0,8,35,515,0,1,0,1,1,1,1,0,0,0,0,1577,"End of passion play, crumbling away
 I�m your source of self-destruction
 Veins that pump with fear, sucking darkest clear
 Leading on your death�s construction
 Taste me you will see
 More is all you need
 You�re dedicated to
 How I�m killing you

 Come crawling faster
 Obey your master
 Your life burns faster
 Obey your master
 Master

 Master of puppets I�m pulling your strings
 Twisting your mind and smashing your dreams
 Blinded by me, you can�t see a thing
 Just call my name, �cause I�ll hear you scream
 Master
 Master
 Just call my name, �cause I�ll hear you scream
 Master
 Master

 Needlework the way, never you betray
 Life of death becoming clearer
 Pain monopoly, ritual misery
 Chop your breakfast on a mirror
 Taste me you will see
 More is all you need
 You�re dedicated to
 How I�m killing you

 Come crawling faster
 Obey your master
 Your life burns faster
 Obey your master
 Master

 Master of puppets I�m pulling your strings
 Twisting your mind and smashing your dreams
 Blinded by me, you can�t see a thing
 Just call my name, �cause I�ll hear you scream
 Master
 Master
 Just call my name, �cause I�ll hear you scream
 Master
 Master

 Master, master
 Where�s the dreams that I�ve been after?
 Master, master
 You promised only lies
 Laughter, laughter
 All I hear or see is laughter
 Laughter, laughter
 Laughing at my cries

 Fix me

 Hell is worth all that, natural habitat
 Just a rhyme without a reason
 Never-ending maze, drift on numbered days
 Now your life is out of season
 I will occupy
 I will help you die
 I will run through you
 Now I rule you too

 Come crawling faster
 Obey your master
 Your life burns faster
 Obey your master
 Master

 Master of puppets I�m pulling your strings
 Twisting your mind and smashing your dreams
 Blinded by me, you can�t see a thing
 Just call my name, �cause I�ll hear you scream
 Master
 Master
 Just call my name, �cause I�ll hear you scream
 Master
 Master "21,3,Master of Puppets,The Thing That Should Not Be,1,3,1986,0,6,36,396,0,0,0,1,1,1,0,0,0,0,0,264,"Messenger of fear in sight
 Dark deception kills the light

 Hybrid children watch the sea
 Pray for father, roaming free

 Fearless wretch
 Insanity
 He watches
 Lurking beneath the sea
 Great old one
 Forbidden site
 He searches
 Hunter of the shadows is rising
 Immortal
 In madness you dwell

 Crawling chaos, underground
 Cult has summoned, twisted sound

 Out from ruins once possessed
 Fallen city, living death

 Fearless wretch
 Insanity
 He watches
 Lurking beneath the sea
 Timeless sleep
 Has been upset
 He awakens
 Hunter of the shadows is rising
 Immortal
 In madness you dwell

 Not dead which eternal lie
 Stranger eons death may die

 Drain you of your sanity
 Face the thing that should not be

 Fearless wretch
 Insanity
 He watches
 Lurking beneath the sea
 Great old one
 Forbidden site
 He searches
 Hunter of the shadows is rising
 Immortal
